CONSUMER_PREFIX 0110ce55ef52110e25dbe82c
trusting_consumer up: VOLATILE reader; DELTA_FRESH=165 ms
TRACE t=366237629476870 event=SAMPLE rx=46 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.32
TRACE t=366237662813827 event=SAMPLE rx=47 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.34
TRACE t=366237696143305 event=SAMPLE rx=48 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.33
TRACE t=366237729461162 event=SAMPLE rx=49 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.32
TRACE t=366237762833005 event=SAMPLE rx=50 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.37
TRACE t=366237796136248 event=SAMPLE rx=51 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.30
TRACE t=366237829473890 event=SAMPLE rx=52 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.34
TRACE t=366237862919161 event=SAMPLE rx=53 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.45
TRACE t=366237896158712 event=SAMPLE rx=54 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.24
TRACE t=366237929504209 event=SAMPLE rx=55 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.35
TRACE t=366237962832553 event=SAMPLE rx=56 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.33
TRACE t=366237996117687 event=SAMPLE rx=57 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.29
TRACE t=366238029521643 event=SAMPLE rx=58 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.40
TRACE t=366238062806264 event=SAMPLE rx=59 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.28
TRACE t=366238096110102 event=SAMPLE rx=60 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.30
TRACE t=366238129488072 event=SAMPLE rx=61 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.38
TRACE t=366238162829146 event=SAMPLE rx=62 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.34
TRACE t=366238196147625 event=SAMPLE rx=63 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.32
TRACE t=366238229479772 event=SAMPLE rx=64 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.33
TRACE t=366238262852044 event=SAMPLE rx=65 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.37
TRACE t=366238296165370 event=SAMPLE rx=66 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.31
TRACE t=366238329483350 event=SAMPLE rx=67 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.32
TRACE t=366238362828909 event=SAMPLE rx=68 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.35
TRACE t=366238396105326 event=SAMPLE rx=69 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.28
TRACE t=366238429486590 event=SAMPLE rx=70 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.38
TRACE t=366238462814697 event=SAMPLE rx=71 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.33
TRACE t=366238496157796 event=SAMPLE rx=72 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.34
TRACE t=366238529513071 event=SAMPLE rx=73 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.36
TRACE t=366238562814272 event=SAMPLE rx=74 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.30
TRACE t=366238596115608 event=SAMPLE rx=75 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.30
TRACE t=366238629476809 event=SAMPLE rx=76 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.36
TRACE t=366238662847654 event=SAMPLE rx=77 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.37
TRACE t=366238696145966 event=SAMPLE rx=78 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.30
TRACE t=366238729498501 event=SAMPLE rx=79 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.35
TRACE t=366238762798700 event=SAMPLE rx=80 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.30
TRACE t=366238796132938 event=SAMPLE rx=81 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.33
TRACE t=366238829473857 event=SAMPLE rx=82 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.34
TRACE t=366238862789107 event=SAMPLE rx=83 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.32
TRACE t=366238896128019 event=SAMPLE rx=84 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.34
TRACE t=366238929490063 event=SAMPLE rx=85 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.36
TRACE t=366238962809476 event=SAMPLE rx=86 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.32
TRACE t=366238996131426 event=SAMPLE rx=87 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.32
TRACE t=366239029478648 event=SAMPLE rx=88 guid=0110e493:507dbdfa:2c764e80:00000203 lv=6.000 dt_ms=33.35
TRACE t=366239062810181 event=SAMPLE rx=89 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366239096153831 event=SAMPLE rx=90 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366239129462335 event=SAMPLE rx=91 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.31
TRACE t=366239162850423 event=SAMPLE rx=92 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.39
TRACE t=366239196112923 event=SAMPLE rx=93 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.26
TRACE t=366239229484205 event=SAMPLE rx=94 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.37
TRACE t=366239262819284 event=SAMPLE rx=95 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366239296174897 event=SAMPLE rx=96 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.36
TRACE t=366239329512536 event=SAMPLE rx=97 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366239362792550 event=SAMPLE rx=98 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.28
TRACE t=366239396123744 event=SAMPLE rx=99 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366239429474004 event=SAMPLE rx=100 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.35
TRACE t=366239462814861 event=SAMPLE rx=101 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366239496117876 event=SAMPLE rx=102 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.30
TRACE t=366239529520351 event=SAMPLE rx=103 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.40
